	Article	Match
0	Aage Bohr	technical university of denmark
1	Aage Bohr	technical university of denmark
0	Copenhagen	technical university of denmark
1	Copenhagen	technical university of denmark
2	Copenhagen	technical university of denmark
3	Copenhagen	technical-university-denmark
4	Copenhagen	technical university of denmark
0	List of cryptographers	technical university of denmark
0	Enigma machine	technical university of denmark
0	Eindhoven University of Technology	technical university of denmark
1	Eindhoven University of Technology	technical university of denmark
0	Hydrogen	technical university of denmark
0	Iowa State University	technical university of denmark
0	KAIST	technical university of denmark
1	KAIST	technical university of denmark
2	KAIST	technical university of denmark
0	Nanoengineering	technical university of denmark
0	November 5	technical university of denmark
1	November 5	technical university of denmark
0	Tor Nørretranders	technical university of denmark
0	Tristan da Cunha	technical university of denmark
0	The Skeptical Environmentalist	technical university of denmark
0	1829	technical university of denmark
1	1829	technical university of denmark
0	Conference of European Schools for Advanced Engineering Education and Research	technical university of denmark
0	Fuzzy control system	technical university of denmark
0	Anders Hejlsberg	technical university of denmark
1	Anders Hejlsberg	technical university of denmark
0	Peter Naur	technical university of denmark
1	Peter Naur	technical university of denmark
2	Peter Naur	technical university of denmark
0	Unmanned aerial vehicle	technical university of denmark
0	Craig Barrett (chief executive)	technical university of denmark
0	Piet Hein (scientist)	technical university of denmark
0	Henrik Dam	technical university of denmark
0	Recycling	technical university of denmark
0	Julius Petersen	technical university of denmark
0	Burmeister & Wain	technical university of denmark
0	Roskilde	technical university of denmark
0	Technical University of Denmark	technical university of denmark
1	Technical University of Denmark	technical university of denmark
2	Technical University of Denmark	technical university of denmark
3	Technical University of Denmark	technical university of denmark
4	Technical University of Denmark	technical-university-of-denmark
5	Technical University of Denmark	technical university of denmark
6	Technical University of Denmark	technical university of denmark
7	Technical University of Denmark	technical-university-denmark
8	Technical University of Denmark	technical university of denmark
9	Technical University of Denmark	technical university of denmark
0	Vaccinium vitis-idaea	technical university of denmark
0	Period 1 element	technical university of denmark
0	Magnetic refrigeration	technical university of denmark
0	European eel	technical university of denmark
0	Gasification	technical university of denmark
0	Wind power	technical university of denmark
1	Wind power	technical university of denmark
0	List of universities and colleges in Denmark	technical university of denmark
0	Hans Island	technical university of denmark
0	Henrik Pontoppidan	technical university of denmark
0	Jakob Nielsen (usability consultant)	technical university of denmark
1	Jakob Nielsen (usability consultant)	technical university of denmark
2	Jakob Nielsen (usability consultant)	technical university of denmark
3	Jakob Nielsen (usability consultant)	technical university of denmark
0	Technical University of Munich	technical university of denmark
0	List of oldest universities in continuous operation	technical university of denmark
0	List of nuclear reactors	technical university]] ==denmark
0	George de Hevesy	technical university of denmark
0	James Franck	technical university of denmark
0	Aarhus University	technical university of denmark
0	John C. Slater	technical university of denmark
0	1829 in science	technical university of denmark
0	Henrik Wann Jensen	technical university of denmark
0	List of public lecture series	technical university of denmark
0	Engineering management	technical university of denmark
0	System identification	technical university of denmark
0	Cleve Moler	technical university of denmark
0	Jakob Nielsen (mathematician)	technical university of denmark
0	Harald Bohr	technical university of denmark
0	ESC/Java	technical university of denmark
0	Lars Knudsen	technical university of denmark
1	Lars Knudsen	technical university of denmark
0	Hørsholm	technical university of denmark
0	Per Brinch Hansen	technical university of denmark
1	Per Brinch Hansen	technical university of denmark
2	Per Brinch Hansen	technical university of denmark
3	Per Brinch Hansen	technical university of denmark
4	Per Brinch Hansen	technical university of denmark
5	Per Brinch Hansen	technical university of denmark
0	Danish Society of Engineers	technical university of denmark
0	Colistin	technical university of denmark
0	Nanotechnology education	technical university of denmark
0	Siren Sundby	technical university of denmark
0	Florin Popențiu Vlădicescu	technical university of denmark
1	Florin Popențiu Vlădicescu	technical university of denmark
0	Risø DTU National Laboratory for Sustainable Energy	technical university of denmark
1	Risø DTU National Laboratory for Sustainable Energy	technical university of denmark
2	Risø DTU National Laboratory for Sustainable Energy	technical university of denmark
0	MIFARE	technical university of denmark]], denmark
1	MIFARE	technical university of denmark
0	National University of Sciences and Technology (Pakistan)	technical university of denmark
0	Arctic Technology Centre	technical university of denmark
0	Horns Rev	technical university of denmark
0	Gravity Recovery and Climate Experiment	technical university of denmark
0	Institute of technology	technical university of denmark
0	Olf (unit)	technical university of denmark
0	DTH	technical university of denmark
0	Corynebacterium	technical university of denmark
0	DTU Space	technical university of denmark
1	DTU Space	technical university of denmark
2	DTU Space	technical university of denmark
0	DTU	technical university of denmark
0	Ebbe Sand	technical university of denmark
0	List of Ig Nobel Prize winners	technical university of denmark
0	Mors (island)	technical university of denmark
0	Paul Seymour (mathematician)	technical university of denmark
0	NuSTAR	technical university of denmark
0	Martin Knudsen	technical university of denmark
0	Greenland Sea	technical university of denmark
0	Tarja Cronberg	technical university of denmark
0	Hans Bruun Nielsen	technical university of denmark
0	List of campus radio stations	technical university of denmark
0	Vehicle-to-grid	technical university of denmark
1	Vehicle-to-grid	technical university of denmark
2	Vehicle-to-grid	technical university of denmark
0	Biotecnol	technical university of denmark
0	DTU Diplom	technical university of denmark
1	DTU Diplom	technical university of denmark
0	Concrete canoe	technical university of denmark
0	Ludwig A. Colding	technical university of denmark
0	Per Bak	technical university of denmark
1	Per Bak	technical university of denmark
0	Dines Bjørner	technical university of denmark
1	Dines Bjørner	technical university of denmark
2	Dines Bjørner	technical university of denmark
0	Zhou Chaochen	technical university of denmark
1	Zhou Chaochen	technical university of denmark
2	Zhou Chaochen	technical university of denmark
0	Com	technical university of denmark
0	Ove Arup	technical university of denmark
1	Ove Arup	technical university of denmark
0	Regensen	technical university of denmark
1	Regensen	technical university of denmark
2	Regensen	technical university of denmark
3	Regensen	technical university of denmark
0	Elers' Kollegium	technical university of denmark
0	Playware	technical university of denmark
1	Playware	technical university of denmark
2	Playware	technical university of denmark
0	Cryptomeria cipher	technical university of denmark
0	Neuroinformatics	technical university of denmark
0	Charlottenlund Palace	technical university of denmark
1	Charlottenlund Palace	technical university of denmark
0	DACAPO	technical university of denmark
0	CDIO	technical university of denmark
0	Ludvig Lorenz	technical university of denmark
0	Peder Oluf Pedersen	technical university of denmark
1	Peder Oluf Pedersen	technical university of denmark
2	Peder Oluf Pedersen	technical university of denmark
0	Lone Dybkjær	technical university of denmark
0	Relevance vector machine	technical university of denmark
0	Zero-energy building	technical university of denmark
0	List of atmospheric dispersion models	technical university of denmark
0	List of University of Waterloo people	technical university of denmark
0	Dunin	technical university of denmark
0	TUD	technical university of denmark
0	John W. Hutchinson	technical university of denmark
1	John W. Hutchinson	technical university of denmark
2	John W. Hutchinson	technical university of denmark
0	Otto Rössler	technical university of denmark
0	Henning Holck-Larsen	technical university of denmark
0	Jørgen Lindegaard	technical university of denmark
0	Villy Søvndal	technical university of denmark
0	Hydrogen storage	technical university of denmark
0	Med-Vet-Net	technical university of denmark
0	XFM (Denmark)	technical university of denmark
0	Haldor Topsøe (company)	technical university of denmark
0	Bjarne Tromborg	technical university of denmark
1	Bjarne Tromborg	technical university of denmark
2	Bjarne Tromborg	technical university of denmark
0	Tesla Roadster	technical university of denmark
0	William Christopher Zeise	technical university of denmark
1	William Christopher Zeise	technical university of denmark
0	Anker Engelund	technical university of denmark
0	Means-ends analysis	technical university of denmark
0	Arctic Mars Analog Svalbard Expedition	technical university of denmark
0	Johannes Theodor Reinhardt	technical university of denmark
0	Alan Needleman	technical university of denmark
0	CEN	technical university of denmark
0	The Animation Workshop	technical university of denmark
0	Table football	technical university of denmark
0	Hassan Aref	technical university of denmark
1	Hassan Aref	technical university of denmark
2	Hassan Aref	technical university of denmark
0	Povl Ole Fanger	technical university of denmark
0	Carsten Thomassen	technical university of denmark
0	Hans Christian Ørsted	technical university of denmark
1	Hans Christian Ørsted	technical university of denmark
0	Technical University of Crete	technical university of denmark
0	Minion (typeface)	technical university of denmark
0	Nordisk Kemiteknolog Konferens	technical university of denmark
1	Nordisk Kemiteknolog Konferens	technical university of denmark
2	Nordisk Kemiteknolog Konferens	technical university of denmark
3	Nordisk Kemiteknolog Konferens	technical university of denmark
0	Intermittent energy source	technical university of denmark
0	Wendelstein 7-X	technical university of denmark
0	100 Gigabit Ethernet	technical university of denmark
1	100 Gigabit Ethernet	technical university of denmark
0	Peder Vilhelm Jensen-Klint	technical university of denmark
0	Genetically modified food controversies	technical university of denmark
0	Wind turbine design	technical university of denmark
1	Wind turbine design	technical university of denmark
0	Technical University of Denmark Department of Mathematics	technical university of denmark
1	Technical University of Denmark Department of Mathematics	technical university of denmark
2	Technical University of Denmark Department of Mathematics	technical university of denmark
0	Steen Rasmussen	technical university of denmark
0	DTU Nanotech	technical university of denmark
1	DTU Nanotech	technical university of denmark
0	Stack register	technical university of denmark
0	Sahib Shihab	technical university of denmark
0	BYG	technical university of denmark
0	Erik Christian Clemmensen	technical university of denmark
1	Erik Christian Clemmensen	technical university of denmark
0	Danny Lange	technical university of denmark
0	Energy in Denmark	technical university of denmark
1	Energy in Denmark	technical university of denmark
0	Thomas Jakobsen	technical university of denmark
0	Henrik Svensmark	technical university of denmark
1	Henrik Svensmark	technical university of denmark
2	Henrik Svensmark	technical university of denmark
0	Electron beam-induced deposition	technical university of denmark
0	Filled Julia set	technical university of denmark
0	Zhiming Liu (computer scientist)	technical university of denmark
0	List of nanotechnology organizations	technical university of denmark
0	Sywoc	technical university of denmark
1	Sywoc	technical university of denmark
0	Atmosphere-Space Interaction Monitor	technical university of denmark
0	DTUsat	technical university of denmark
0	ICEpower	technical university of denmark
1	ICEpower	technical university of denmark
0	Complex quadratic polynomial	technical university of denmark
0	Ramboll	technical university of denmark
0	Point distribution model	technical university of denmark
0	Welltec	technical university of denmark
0	European Federation of Chemical Engineering	technical university of denmark
0	Rodney Cotterill	technical university of denmark]], denmark
1	Rodney Cotterill	technical university of denmark
2	Rodney Cotterill	technical university of denmark
0	Harald T. Friis	technical university of denmark
1	Harald T. Friis	technical university of denmark
0	Medicon Valley Alliance	technical university of denmark
1	Medicon Valley Alliance	technical university of denmark
0	Stockholm Water Prize	technical university of denmark
0	Rafal E. Dunin-Borkowski	technical university of denmark
0	Lundtofte	technical university of denmark
0	European Society for Engineering Education	technical university of denmark
0	Povl Ahm	technical university of denmark
1	Povl Ahm	technical university of denmark
0	Flow injection analysis	technical university of denmark
0	PROBA2	technical university of denmark
0	Journal of Graph Theory	technical university of denmark
0	Center for Electron Nanoscopy	technical university of denmark
